USSAV,SC,ROUND O,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,459,,,,459, $609.00 , $559.00 , $534.00 ,ATL,88
USSAV,GA,SCREVEN,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,459,,,,459, $609.00 , $559.00 , $534.00 ,ATL,88
USSAV,SC,SMOAKS,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,459,,,,459, $609.00 , $559.00 , $534.00 ,ATL,88
USSLC,UT,NORTH LOGAN,,,,,,,450,,,,,362,,,,,,,,,,,,,500,,,,,,,,,,,,,,450, $575.00 , $550.00 , $525.00 ,LAX,88
USSLC,UT,RIVER HEIGHTS,,,,,,,450,,,,,362,,,,,,,,,,,,,500,,,,,,,,,,,,,,450, $575.00 , $550.00 , $525.00 ,LAX,88
USSLC,UT,WOODLAND HILLS,,,,,,,345,,,,,257,,,,,,,,,,,,,400,,,,,,,,,,,,,,345, $470.00 , $445.00 , $420.00 ,LAX,88
USSTL,MO,SCOTT CITY,,,,,,610,615,,,,,,,,522,,,,,,,,,,675,,,,,,,,,,,,,,610, $760.00 , $710.00 , $660.00 ,ORD,88
USATL,GA,BAXLEY,,,,,,949.5,825,,,,,,,,786,,,,,,,,,,885,,,,,,,,,,699,,,,786, $936.00 , $886.00 , $861.00 ,ATL,87
USATL,FL,CHATTAHOOCHEE,,,,,,,,,,,,,,,,,,,,,,,,,976,,,,,,,,,,889,,,,976," $1,101.00 "," $1,076.00 "," $1,026.00 ",MIA,87
USATL,AL,CHILDERSBURG,,,,,,575,555,,,,,,,,468,,,,,,,,,,640,,,,,,,,,,559,,,,555, $705.00 , $655.00 , $630.00 ,ATL,87
USATL,AL,LEIGHTON,,,,,,,,,,,,,,,,,,,,,,,,,946,,,,,,,,,,859,,,,946," $1,096.00 "," $1,046.00 "," $1,021.00 ",ATL,87
USATL,AL,LOWER PEACH TREE,,,,,,,,,,,,,,,,,,,,,,,,,1006,,,,,,,,,,919,,,,1006," $1,156.00 "," $1,106.00 "," $1,081.00 ",ATL,87
USATL,FL,MADISON,,,,,,,,,,,,,,,,,,,,,,,,,946,,,,,,,,,,859,,,,946," $1,071.00 "," $1,046.00 ", $996.00 ,MIA,87
USATL,FL,MIDWAY,,,,,,,,,,,,,,,,,,,,,,,,,1036,,,,,,,,,,949,,,,1036," $1,161.00 "," $1,136.00 "," $1,086.00 ",MIA,87
USATL,FL,MONTICELLO,,,,,,,,,,,,,,,,,,,,,,,,,946,,,,,,,,,,859,,,,946," $1,071.00 "," $1,046.00 ", $996.00 ,MIA,87
USATL,AL,MOODY,,,,,,575,555,,,,,,,,468,,,,,,,,,,640,,,,,,,,,,569,,,,555, $705.00 , $655.00 , $630.00 ,ATL,87
USATL,GA,NAHUNTA,,,,,,,,,,,,,,,,,,,,,,,,,976,,,,,,,,,,889,,,,976," $1,126.00 "," $1,076.00 "," $1,051.00 ",ATL,87
USATL,GA,PATTERSON,,,,,,,,,,,,,,,,,,,,,,,,,876,,,,,,,,,,789,,,,876," $1,026.00 ", $976.00 , $951.00 ,ATL,87
USATL,AL,PERDIDO,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,,,,,,,,989,,,,1076," $1,226.00 "," $1,176.00 "," $1,151.00 ",ATL,87
USATL,TN,ROBBINS,,,,,,,,,,,,,,,,,,,,,,,,,862,,,,,,,,,,949,,,,949," $1,124.00 "," $1,074.00 "," $1,049.00 ",HOU,87
USATL,GA,WILLACOOCHEE,,,,,,976.5,825,,,,,,,,806,,,,,,,,,,906,,,,,,,,,,719,,,,806, $956.00 , $906.00 , $881.00 ,ATL,87
USAUL,NC,NEWTON,,,,,,1206,1050,,,,,,,,,,,,,,,,,,1137,,,,,,,,,,,,,,1137," $1,287.00 "," $1,237.00 "," $1,212.00 ",ATL,87
USBAL,NY,BLOOMINGTON,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1309,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,87
USBAL,NC,EURE,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,,,,,,,1339,,,,1339," $1,489.00 "," $1,439.00 "," $1,414.00 ",ATL,87
USBAL,NC,HARRELLSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,,,,,,,1339,,,,1339," $1,489.00 "," $1,439.00 "," $1,414.00 ",ATL,87
USBAL,NY,HIGH FALLS,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1309,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,87
USBAL,NC,HOBBSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,,,,,,,1339,,,,1339," $1,489.00 "," $1,439.00 "," $1,414.00 ",ATL,87
USBAL,NY,HUGUENOT,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1309,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,87
USBAL,PA,LAUGHLINTOWN,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,989,,,,989," $1,139.00 "," $1,114.00 "," $1,089.00 ",EWR,87
USBAL,PA,MOUNT POCONO,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,989,,,,989," $1,139.00 "," $1,114.00 "," $1,089.00 ",EWR,87
USBAL,NY,OTISVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1309,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,87
USBAL,VA,SEAFORD,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,,,989,,,,989," $1,139.00 "," $1,114.00 "," $1,089.00 ",EWR,87
USBAL,NY,STAATSBURG,,,,,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,,,,1319,,,,1406," $1,556.00 "," $1,531.00 "," $1,506.00 ",EWR,87
USBAL,NY,TILLSON,,,,,,,,,,,,,,,,,,,,,,,,,1376,,,,,,,,,,1289,,,,1376," $1,526.00 "," $1,501.00 "," $1,476.00 ",EWR,87
USBAL,NY,ULSTER PARK,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1309,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,87
USBOS,ME,BREWER,,,,,,,,,,,,,,,,,,,,,,,,,1216,,,,,,,,,,1129,,,,1216," $1,366.00 "," $1,341.00 "," $1,316.00 ",EWR,87
USBOS,ME,CHARLESTON,,,,,,,,,,,,,,,,,,,,,,,,,1216,,,,,,,,,,1129,,,,1216," $1,366.00 "," $1,341.00 "," $1,316.00 ",EWR,87
USBOS,MA,DIGHTON,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,499,,,,499, $649.00 , $624.00 , $599.00 ,EWR,87
USBOS,NH,HOLLIS,,,,500,,,500,,,,,,,,,,,,,,,,,,412,,,,,,,,,,499,,,,499, $649.00 , $624.00 , $599.00 ,EWR,87
USBOS,NH,LITCHFIELD,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,499,,,,499, $649.00 , $624.00 , $599.00 ,EWR,87
USBOS,NJ,LIVINGSTON,,,,,,,,,,,,,,,,,,,,,,,,,1216,,,,,,,,,,1129,,,,1216," $1,366.00 "," $1,341.00 "," $1,316.00 ",EWR,87
USBOS,NY,RICHFIELD SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,1216,,,,,,,,,,1129,,,,1216," $1,366.00 "," $1,341.00 "," $1,316.00 ",EWR,87
USBOS,NJ,ROSELLE,,,,,,,,,,,,,,,,,,,,,,,,,1206,,,,,,,,,,1119,,,,1206," $1,356.00 "," $1,331.00 "," $1,306.00 ",EWR,87
USBOS,NJ,ROSELLE PARK,,,,,,,,,,,,,,,,,,,,,,,,,1206,,,,,,,,,,1119,,,,1206," $1,356.00 "," $1,331.00 "," $1,306.00 ",EWR,87
USBOS,NY,SALISBURY CENTER,,,,,,,,,,,,,,,,,,,,,,,,,1226,,,,,,,,,,1139,,,,1226," $1,376.00 "," $1,351.00 "," $1,326.00 ",EWR,87
USBOS,NY,VAN HORNESVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1216,,,,,,,,,,1129,,,,1216," $1,366.00 "," $1,341.00 "," $1,316.00 ",EWR,87
USCHI,WI,BLUE MOUNDS,,,,,,872,850,,,,,,,,863,,,,,,,,,,763,,,,,,,,,,,,932,,850," $1,000.00 ", $950.00 , $900.00 ,ORD,87
USCHI,IL,BYRON,,,,,,567,700,,,,,,,,577,,,,,,,,,,474,,,,,,,,,,,,561,,561, $711.00 , $661.00 , $611.00 ,ORD,87
USCHI,WI,CATO,,,,,,949,950,,,,,,,,959,,,,,,,,,,824,,,,,,,,,,,,911,,911," $1,061.00 "," $1,011.00 ", $961.00 ,ORD,87
USCHI,MI,EMPIRE,,,,,,1454,1250,,,,,,,,1464,,,,,,,,,,1337,,,,,,,,,,,,,,1337," $1,487.00 "," $1,437.00 "," $1,387.00 ",ORD,87
USCHI,KY,FLEMINGSBURG,,,,,,1623,1575,,,,,,,,1633,,,,,,,,,,1488,,,,,,,,,,,,,,1575," $1,725.00 "," $1,675.00 "," $1,625.00 ",ORD,87
USCHI,IA,FLOYD,,,,,,1509,1400,,,,,,,,1519,,,,,,,,,,1313,,,,,,,,,,,,,,1400," $1,550.00 "," $1,500.00 "," $1,450.00 ",ORD,87
USCHI,MI,GLADSTONE,,,,,,1563,1400,,,,,,,,1573,,,,,,,,,,1313,,,,,,,,,,,,,,1400," $1,550.00 "," $1,500.00 "," $1,450.00 ",ORD,87
USCHI,WI,MANITOWOC,,,,,,907,850,,,,,,,,917,,,,,,,,,,763,,,,930,,,,,,,,914,,850," $1,000.00 ", $950.00 , $900.00 ,ORD,87
USCHI,WI,MEQUON,,,,,,702,800,,,,,,,,712,,,,,,,,,,,,,,,,,,,,,,615,,702, $852.00 , $802.00 , $752.00 ,ORD,87
USCHI,WI,MOSINEE,,,,,,1338,1245,,,,,,,,1340,,,,,,,,,,1332,,,,,,,,,,,,1432,,1332," $1,482.00 "," $1,432.00 "," $1,382.00 ",ORD,87
USCHI,MI,SAGOLA,,,,,,1565,1400,,,,,,,,1575,,,,,,,,,,1313,,,,,,,,,,,,,,1400," $1,550.00 "," $1,500.00 "," $1,450.00 ",ORD,87
USCHI,WI,SAINT CLOUD,,,,,,872,850,,,,,,,,870,,,,,,,,,,890,,,,,,,,,,,,763,,850," $1,000.00 ", $950.00 , $900.00 ,ORD,87
USCHI,IL,STEELEVILLE,,,,,,1449,1250,,,,,,,,1459,,,,,,,,,,1337,,,,,,,,,,,,,,1337," $1,487.00 "," $1,437.00 "," $1,387.00 ",ORD,87
USCHI,WI,THIENSVILLE,,,,,,702,725,,,,,,,,712,,,,,,,,,,,,,,,,,,,,,,615,,702, $852.00 , $802.00 , $752.00 ,ORD,87
USCHI,WI,WAUSAUKEE,,,,,,1384,1245,,,,,,,,1394,,,,,,,,,,1332,,,,,,,,,,,,,,1332," $1,482.00 "," $1,432.00 "," $1,382.00 ",ORD,87
USCHI,WI,WILTON,,,,,,1220,1125,,,,,,,,1230,,,,,,,,,,1212,,,,,,,,,,,,1288,,1212," $1,362.00 "," $1,312.00 "," $1,262.00 ",ORD,87
USCHS,GA,BLOOMINGDALE,,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,,,,449,,,,536, $686.00 , $636.00 , $611.00 ,ATL,87
USCHS,SC,GREEN SEA,,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,,,,449,,,,536, $686.00 , $636.00 , $611.00 ,ATL,87
USCHS,SC,MARTIN,,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,,,,449,,,,536, $686.00 , $636.00 , $611.00 ,ATL,87
USCHS,SC,MAYESVILLE,,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,,,,449,,,,536, $686.00 , $636.00 , $611.00 ,ATL,87
USCLE,PA,NEW BETHLEHEM,,,,,,,795,,,,,,,,708,,,,,,,,,,,,,,,950,,,,,,,,,795, $945.00 , $920.00 , $895.00 ,EWR,87
USCLE,NY,NORTH COLLINS,,,,,,,915,,,,,,,,828,,,,,,,,,,,,,,,975,,,,,,,,,915," $1,065.00 "," $1,040.00 "," $1,015.00 ",EWR,87
USCMH,VA,RICHMOND,,,,,,,1700,,,,,,,,1787,,,,,,,,,,,,,,,,,,,,,,,,1787," $1,937.00 "," $1,912.00 "," $1,887.00 ",EWR,87
USCVG,OH,CHILLICOTHE,,,,,,,580,,,,,,,,453,,,,,,,,,,540,,,,,,,,,,,,,,540, $690.00 , $640.00 , $590.00 ,ORD,87
USCVG,IN,HAMMOND,,,,,,,1117,,,,,,,,1030,,,,,,,,,,1259,,,,,,,,,,,,,,1117," $1,267.00 "," $1,217.00 "," $1,167.00 ",ORD,87
USCVG,IN,SELMA,,,,,,,580,,,,,,,,453,,,,,,,,,,540,,,,,,,,,,,,,,540, $690.00 , $640.00 , $590.00 ,ORD,87
USDET,OH,NORTHWOOD,,,,,,540,450,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,450, $600.00 , $550.00 , $500.00 ,ORD,87
USDET,OH,OREGON,,,,,,540,450,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,450, $600.00 , $550.00 , $500.00 ,ORD,87
USDET,OH,SANDUSKY,,,,,,605,685,,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,605, $755.00 , $705.00 , $655.00 ,ORD,87
USHOU,TX,EVANT,,,,,,,,,,,,,,,,,,,,,,,,,992,,,,,,,,,,1079,,,,1079," $1,254.00 "," $1,204.00 "," $1,179.00 ",HOU,87
USHOU,LA,SLAUGHTER,,,,,,,,,,,,,,,,,,,,,,,,,992,,,,,,,,,,1079,,,,1079," $1,204.00 "," $1,179.00 "," $1,129.00 ",MIA,87
USHOU,TX,WINNSBORO,,,,,,,,,,,,,,,,,,,,,,,,,992,,,,,,,,,,1079,,,,1079," $1,254.00 "," $1,204.00 "," $1,179.00 ",HOU,87
USJAX,FL,JASPER,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,499,,,,499, $624.00 , $599.00 , $549.00 ,MIA,87
USJAX,SC,KINGSTREE,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,1119,,,,1119," $1,269.00 "," $1,219.00 "," $1,194.00 ",ATL,87
USJAX,FL,LIVE OAK,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,499,,,,499, $624.00 , $599.00 , $549.00 ,MIA,87
USJAX,FL,YALAHA,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,639,,,,639, $764.00 , $739.00 , $689.00 ,MIA,87
USLAX,CA,SAN JACINTO,,,,,,610,600,,,,,,,,,,,620,,,,,,,675,,,600,597,,510,,,,,,,,597, $722.00 , $697.00 , $672.00 ,LAX,87
USLUI,IN,CAMPBELLSBURG,,,,,,350,425,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,350, $500.00 , $450.00 , $400.00 ,ORD,87
USLUI,IN,GRANTSBURG,,,,,,350,425,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,350, $500.00 , $450.00 , $400.00 ,ORD,87
USLUI,KY,MARROWBONE,,,,,,660,725,,,,,,,,573,,,,,,,,,,,,,,,,,,,,,,,,660, $810.00 , $760.00 , $710.00 ,ORD,87
USMIA,FL,FORT PIERCE,,,,,,670,750,,,,,,,,,,,,960,,,,,525,735,,,,438,,,,,,,,,,525, $650.00 , $625.00 , $575.00 ,MIA,87
USMKC,KS,ANDALE,,,,,,1065,1060,,,,,,,,908,,,,,,,,,,995,,,,,,,,,,,,,,995," $1,145.00 "," $1,095.00 "," $1,045.00 ",ORD,87
USMKC,MO,GRANDVIEW,,,,,,515,565,,,,,,,,393,,,,,,,,,,480,,,,,,,,,,,,,,480, $630.00 , $580.00 , $530.00 ,ORD,87
USMKC,MO,INDEPENDENCE,,,,,,515,565,,,,,,,,393,,,,,,,,,,480,,,,,,,,,,,,,,480, $630.00 , $580.00 , $530.00 ,ORD,87
USMKC,OK,JAY,,,,,,1115,1150,,,,,,,,948,,,,,,,,,,1035,,,,,,,,,,,,,,1035," $1,210.00 "," $1,160.00 "," $1,135.00 ",HOU,87
USMKC,MO,PLEASANT VALLEY,,,,,,515,565,,,,,,,,393,,,,,,,,,,480,,,,,,,,,,,,,,480, $630.00 , $580.00 , $530.00 ,ORD,87
USMKC,MO,SUGAR CREEK,,,,,,515,565,,,,,,,,393,,,,,,,,,,480,,,,,,,,,,,,,,480, $630.00 , $580.00 , $530.00 ,ORD,87
USMOB,FL,LYNN HAVEN,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,609,,,,696, $821.00 , $796.00 , $746.00 ,MIA,87
USNYC,PA,ARMAGH,,,,,,,1436,,,,,,,,1509,,,,,,,,,,1349,,,,,,,,,,,,,,1436," $1,586.00 "," $1,561.00 "," $1,536.00 ",EWR,87
USNYC,NY,BOICEVILLE,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USNYC,NY,CLARENCE CENTER,,,,,,,1705,,,,,,,,,,,,,,,,,,1792,,,,,,,,,,,,,,1792," $1,942.00 "," $1,917.00 "," $1,892.00 ",EWR,87
USNYC,MI,DETROIT,,2925,,3350,,2560,2458,,,,,,,,,,,,,,,,,,2545,,,,,,,,,,,,,,2545," $2,695.00 "," $2,645.00 "," $2,595.00 ",ORD,87
USNYC,NY,LAKE HILL,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USNYC,NY,LONG LAKE,,,,,,,1277,,,,,,,,1538,,,,,,,,,,1364,,,,,,,,,,1559,,,,1364," $1,514.00 "," $1,489.00 "," $1,464.00 ",EWR,87
USNYC,NJ,MOUNT ARLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,469,,,,469, $619.00 , $594.00 , $569.00 ,EWR,87
USNYC,PA,MT HOLLY SPRINGS,,,,,,,1077,,,,,,,,1087,,,,,,,,,,990,,,,,,,,,,,,,,1077," $1,227.00 "," $1,202.00 "," $1,177.00 ",EWR,87
USNYC,NY,PHOENICIA,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USNYC,NJ,POINT PLEASANT BEACH,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,489,,,,489, $639.00 , $614.00 , $589.00 ,EWR,87
USNYC,PA,SOUTH WILLIAMSPORT,,,,,,,1077,,,,,,,,1087,,,,,,,,,,990,,,,,,,,,,,,,,1077," $1,227.00 "," $1,202.00 "," $1,177.00 ",EWR,87
USNYC,NY,WEST CAMP,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USOAK,CA,ALVISO,,,,,,400,390,,,,,,,,,,,,,,,,,,450,,,430,238,,325,,,,,,,,325, $450.00 , $425.00 , $400.00 ,LAX,87
USOAK,CA,AMERICAN CANYON,,,,,,495,495,,,,,,,,,,,,,,,,,,575,,,480,238,,325,,,505,,,,,325, $450.00 , $425.00 , $400.00 ,LAX,87
USOAK,CA,SAN MARTIN,,,,,,531,525,,,,,,,,,,,,,,,,,,595,,,500,467,,380,,,575,,,,,467, $592.00 , $567.00 , $542.00 ,LAX,87
USOAK,CA,STOCKTON,,,,,,559,545,,,,,,,,,,,,,,,,,,625,,,550,467,,380,,,535,,,,,467, $592.00 , $567.00 , $542.00 ,LAX,87
USORF,NC,ALBERTSON,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $939.00 , $914.00 ,ATL,87
USORF,NC,CEDAR GROVE,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $939.00 , $914.00 ,ATL,87
USORF,VA,CHURCHVILLE,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,NJ,CINNAMINSON,,,,,,,1200,,,,,,,,,,,,,,,,,,1287,,,,,,,,,,,,,,1287," $1,437.00 "," $1,412.00 "," $1,387.00 ",EWR,87
USORF,NC,COROLLA,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,489,,,,489, $639.00 , $589.00 , $564.00 ,ATL,87
USORF,WV,DELRAY,,,,,,,,,,,,,,,,,,,,,,,,,1092,,,,,,,,,,1179,,,,1179," $1,329.00 "," $1,304.00 "," $1,279.00 ",EWR,87
USORF,MD,DERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,NC,EMERALD ISLE,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $939.00 , $914.00 ,ATL,87
USORF,NC,FALCON,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $939.00 , $914.00 ,ATL,87
USORF,VA,FORT DEFIANCE,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,MD,GARRETT PARK,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,NC,GODWIN,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $939.00 , $914.00 ,ATL,87
USORF,VA,HURT,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,VA,LOWRY,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,VA,LYNCH STATION,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,WV,MATHIAS,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,,,,,,,,1159,,,,1159," $1,309.00 "," $1,284.00 "," $1,259.00 ",EWR,87
USORF,VA,MOUNT SIDNEY,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,VA,ROSELAND,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $964.00 , $939.00 ,EWR,87
USORF,NC,RUFFIN,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $939.00 , $914.00 ,ATL,87
USORF,NC,WARSAW,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,839,,,,839, $989.00 , $939.00 , $914.00 ,ATL,87
USPHL,NY,BEAR MOUNTAIN,,,,,,,,,,,,,,,,,,,,,,,,,876,,,,,,,,,,789,,,,876," $1,026.00 "," $1,001.00 ", $976.00 ,EWR,87
USPHL,NY,BEDFORD HILLS,,,,,,,,,,,,,,,,,,,,,,,,,876,,,,,,,,,,789,,,,876," $1,026.00 "," $1,001.00 ", $976.00 ,EWR,87
USPHL,NY,BUCHANAN,,,,,,,,,,,,,,,,,,,,,,,,,876,,,,,,,,,,789,,,,876," $1,026.00 "," $1,001.00 ", $976.00 ,EWR,87
USPHL,NJ,COLUMBUS,,,,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,,,,439,,,,526, $676.00 , $651.00 , $626.00 ,EWR,87
USPHL,CT,EAST BERLIN,,,,,,,,,,,,,,,,,,,,,,,,,922,,,,,,,,,,1009,,,,1009," $1,159.00 "," $1,134.00 "," $1,109.00 ",EWR,87
USPHL,VA,HALLIEFORD,,,,,,,,,,,,,,,,,,,,,,,,,1376,,,,,,,,,,1289,,,,1376," $1,526.00 "," $1,501.00 "," $1,476.00 ",EWR,87
USPHL,NJ,HAMMONTON,,,,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,,,,439,,,,526, $676.00 , $651.00 , $626.00 ,EWR,87
USPHL,PA,HARRISON VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,1309,,,,1396," $1,546.00 "," $1,521.00 "," $1,496.00 ",EWR,87
USPHL,CT,MIDDLETOWN,,,,,,,,,,,,,,,,,,,,,,,,,922,,,,,,,,,,1009,,,,1009," $1,159.00 "," $1,134.00 "," $1,109.00 ",EWR,87
USPHL,PA,MILLS,,,,,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,,,,1319,,,,1406," $1,556.00 "," $1,531.00 "," $1,506.00 ",EWR,87
USPHL,NJ,NEWFIELD,,,,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,,,,439,,,,526, $676.00 , $651.00 , $626.00 ,EWR,87
USPHL,NY,PEEKSKILL,,,,,,,,,,,,,,,,,,,,,,,,,876,,,,,,,,,,789,,,,876," $1,026.00 "," $1,001.00 ", $976.00 ,EWR,87
USPHL,CT,PORTLAND,,,,,,,,,,,,,,,,,,,,,,,,,922,,,,,,,,,,1009,,,,1009," $1,159.00 "," $1,134.00 "," $1,109.00 ",EWR,87
USSAV,FL,RIVERVIEW,,,,,,1321,1325,,,,,,,,1234,,,,,,,,,,1338,,,,,,,,,,,,,,1321," $1,446.00 "," $1,421.00 "," $1,371.00 ",MIA,87
USATL,GA,ALAPAHA,,,,,,927,765,,,,,,,,770,,,,,,,,,,835,,,,,,,,,,679,,,,765, $915.00 , $865.00 , $840.00 ,ATL,86
USATL,NC,BALSAM GROVE,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,679,,,,679, $829.00 , $779.00 , $754.00 ,ATL,86
USATL,AL,BROWNSBORO,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,679,,,,679, $829.00 , $779.00 , $754.00 ,ATL,86
USATL,GA,CISCO,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,,,,,,,519,,,,519, $669.00 , $619.00 , $594.00 ,ATL,86
USATL,AL,ESTILLFORK,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,679,,,,679, $829.00 , $779.00 , $754.00 ,ATL,86
USATL,GA,FORT STEWART,,,,,,,,,,,,,,,,,,,,,,,,,895,,,,,,,,,,809,,,,895," $1,045.00 ", $995.00 , $970.00 ,ATL,86
USATL,TN,GRUETLI LAAGER,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,679,,,,679, $854.00 , $804.00 , $779.00 ,HOU,86
USATL,FL,LEE,,,,,,,,,,,,,,,,,,,,,,,,,965,,,,,,,,,,879,,,,965," $1,090.00 "," $1,065.00 "," $1,015.00 ",MIA,86
USATL,GA,MINERAL BLUFF,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,,,,,,,519,,,,519, $669.00 , $619.00 , $594.00 ,ATL,86
USATL,GA,MORGANTON,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,,,,,,,519,,,,519, $669.00 , $619.00 , $594.00 ,ATL,86
USATL,GA,NAYLOR,,,,,,,,,,,,,,,,,,,,,,,,,895,,,,,,,,,,809,,,,895," $1,045.00 ", $995.00 , $970.00 ,ATL,86
USATL,AL,PINE HILL,,,,,,,,,,,,,,,,,,,,,,,,,965,,,,,,,,,,879,,,,965," $1,115.00 "," $1,065.00 "," $1,040.00 ",ATL,86
USATL,AL,TRENTON,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,679,,,,679, $829.00 , $779.00 , $754.00 ,ATL,86
